datetime,UHI_Index,Name,Description,location_id,AirTempSurface,RelativeHumidity,AvgWindSpeed,WindDirection,SolarFlux,Latitude,Longitude,Altitude,hour,day,month,weekday
2021-07-24 15:53:00,1.030288903,,,,,,,,,,,,15.0,24.0,7.0,5.0
2021-07-24 15:53:00,1.030288903,,,,,,,,,,,,15.0,24.0,7.0,5.0
2021-07-24 15:53:00,1.023797758,,,,,,,,,,,,15.0,24.0,7.0,5.0
2021-07-24 15:53:00,1.023797758,,,,,,,,,,,,15.0,24.0,7.0,5.0
2021-07-24 15:53:00,1.021634043,,,,,,,,,,,,15.0,24.0,7.0,5.0
2021-07-24 15:53:00,1.021634043,,,,,,,,,,,,15.0,24.0,7.0,5.0
2021-07-24 15:53:00,1.015142899,,,,,,,,,,,,15.0,24.0,7.0,5.0
2021-07-24 15:53:00,1.015142899,,,,,,,,,,,,15.0,24.0,7.0,5.0
2021-07-24 15:53:00,1.012979184,,,,,,,,,,,,15.0,24.0,7.0,5.0
2021-07-24 15:53:00,1.012979184,,,,,,,,,,,,15.0,24.0,7.0,5.0
2021-07-24 15:53:00,1.010815469,,,,,,,,,,,,15.0,24.0,7.0,5.0
2021-07-24 15:53:00,1.010815469,,,,,,,,,,,,15.0,24.0,7.0,5.0
2021-07-24 15:53:00,1.010815469,,,,,,,,,,,,15.0,24.0,7.0,5.0
2021-07-24 15:53:00,1.010815469,,,,,,,,,,,,15.0,24.0,7.0,5.0
2021-07-24 15:53:00,1.010815469,,,,,,,,,,,,15.0,24.0,7.0,5.0
2021-07-24 15:53:00,1.010815469,,,,,,,,,,,,15.0,24.0,7.0,5.0
2021-07-24 15:53:00,1.010815469,,,,,,,,,,,,15.0,24.0,7.0,5.0
2021-07-24 15:54:00,1.010815469,,,,,,,,,,,,15.0,24.0,7.0,5.0
2021-07-24 15:54:00,1.010815469,,,,,,,,,,,,15.0,24.0,7.0,5.0
2021-07-24 15:54:00,1.010815469,,,,,,,,,,,,15.0,24.0,7.0,5.0
2021-07-24 15:54:00,1.012979184,,,,,,,,,,,,15.0,24.0,7.0,5.0
2021-07-24 15:54:00,1.012979184,,,,,,,,,,,,15.0,24.0,7.0,5.0
2021-07-24 15:54:00,1.012979184,,,,,,,,,,,,15.0,24.0,7.0,5.0
2021-07-24 15:54:00,1.012979184,,,,,,,,,,,,15.0,24.0,7.0,5.0
2021-07-24 15:54:00,1.012979184,,,,,,,,,,,,15.0,24.0,7.0,5.0
2021-07-24 15:54:00,1.012979184,,,,,,,,,,,,15.0,24.0,7.0,5.0
2021-07-24 15:54:00,1.012979184,,,,,,,,,,,,15.0,24.0,7.0,5.0
2021-07-24 15:54:00,1.012979184,,,,,,,,,,,,15.0,24.0,7.0,5.0
2021-07-24 15:54:00,1.012979184,,,,,,,,,,,,15.0,24.0,7.0,5.0
2021-07-24 15:54:00,1.012979184,,,,,,,,,,,,15.0,24.0,7.0,5.0
2021-07-24 15:54:00,1.012979184,,,,,,,,,,,,15.0,24.0,7.0,5.0
2021-07-24 15:54:00,1.015142899,,,,,,,,,,,,15.0,24.0,7.0,5.0
2021-07-24 15:54:00,1.015263105,,,,,,,,,,,,15.0,24.0,7.0,5.0
2021-07-24 15:54:00,1.015263105,,,,,,,,,,,,15.0,24.0,7.0,5.0
2021-07-24 15:54:00,1.019590535,,,,,,,,,,,,15.0,24.0,7.0,5.0
2021-07-24 15:54:00,1.019590535,,,,,,,,,,,,15.0,24.0,7.0,5.0
2021-07-24 15:54:00,1.02175425,,,,,,,,,,,,15.0,24.0,7.0,5.0
2021-07-24 15:54:00,1.02175425,,,,,,,,,,,,15.0,24.0,7.0,5.0
2021-07-24 15:54:00,1.023917965,,,,,,,,,,,,15.0,24.0,7.0,5.0
2021-07-24 15:54:00,1.02175425,,,,,,,,,,,,15.0,24.0,7.0,5.0
2021-07-24 15:54:00,1.02175425,,,,,,,,,,,,15.0,24.0,7.0,5.0
2021-07-24 15:54:00,1.019590535,,,,,,,,,,,,15.0,24.0,7.0,5.0
2021-07-24 15:54:00,1.019590535,,,,,,,,,,,,15.0,24.0,7.0,5.0
2021-07-24 15:54:00,1.019590535,,,,,,,,,,,,15.0,24.0,7.0,5.0
2021-07-24 15:54:00,1.019590535,,,,,,,,,,,,15.0,24.0,7.0,5.0
2021-07-24 15:54:00,1.019590535,,,,,,,,,,,,15.0,24.0,7.0,5.0
2021-07-24 15:54:00,1.019590535,,,,,,,,,,,,15.0,24.0,7.0,5.0
2021-07-24 15:54:00,1.01742682,,,,,,,,,,,,15.0,24.0,7.0,5.0
2021-07-24 15:54:00,1.019590535,,,,,,,,,,,,15.0,24.0,7.0,5.0
2021-07-24 15:55:00,1.019590535,,,,,,,,,,,,15.0,24.0,7.0,5.0
2021-07-24 15:55:00,1.019590535,,,,,,,,,,,,15.0,24.0,7.0,5.0
2021-07-24 15:55:00,1.019590535,,,,,,,,,,,,15.0,24.0,7.0,5.0
2021-07-24 15:55:00,1.019590535,,,,,,,,,,,,15.0,24.0,7.0,5.0
2021-07-24 15:55:00,1.019590535,,,,,,,,,,,,15.0,24.0,7.0,5.0
2021-07-24 15:55:00,1.02175425,,,,,,,,,,,,15.0,24.0,7.0,5.0
2021-07-24 15:55:00,1.02175425,,,,,,,,,,,,15.0,24.0,7.0,5.0
2021-07-24 15:55:00,1.02175425,,,,,,,,,,,,15.0,24.0,7.0,5.0
2021-07-24 15:55:00,1.023917965,,,,,,,,,,,,15.0,24.0,7.0,5.0
2021-07-24 15:55:00,1.023917965,,,,,,,,,,,,15.0,24.0,7.0,5.0
2021-07-24 15:55:00,1.015263105,,,,,,,,,,,,15.0,24.0,7.0,5.0
2021-07-24 15:55:00,1.015263105,,,,,,,,,,,,15.0,24.0,7.0,5.0
2021-07-24 15:55:00,1.01309939,,,,,,,,,,,,15.0,24.0,7.0,5.0
2021-07-24 15:55:00,1.01309939,,,,,,,,,,,,15.0,24.0,7.0,5.0
2021-07-24 15:55:00,1.01309939,,,,,,,,,,,,15.0,24.0,7.0,5.0
2021-07-24 15:55:00,1.010935675,,,,,,,,,,,,15.0,24.0,7.0,5.0
2021-07-24 15:55:00,1.03269303,,,,,,,,,,,,15.0,24.0,7.0,5.0
2021-07-24 15:55:00,1.030529316,,,,,,,,,,,,15.0,24.0,7.0,5.0
2021-07-24 15:55:00,1.030529316,,,,,,,,,,,,15.0,24.0,7.0,5.0
2021-07-24 15:55:00,1.026201886,,,,,,,,,,,,15.0,24.0,7.0,5.0
2021-07-24 15:55:00,1.026201886,,,,,,,,,,,,15.0,24.0,7.0,5.0
2021-07-24 15:55:00,1.026201886,,,,,,,,,,,,15.0,24.0,7.0,5.0
2021-07-24 15:55:00,1.028365601,,,,,,,,,,,,15.0,24.0,7.0,5.0
2021-07-24 15:55:00,1.028365601,,,,,,,,,,,,15.0,24.0,7.0,5.0
2021-07-24 15:55:00,1.028365601,,,,,,,,,,,,15.0,24.0,7.0,5.0
