Longitude,Latitude,datetime,UHI Index
-73.90916667,40.81310667,2021-07-24 15:53:00,1.030288903
-73.90918667,40.813045,2021-07-24 15:53:00,1.030288903
-73.909215,40.81297833,2021-07-24 15:53:00,1.023797758
-73.90924167,40.81290833,2021-07-24 15:53:00,1.023797758
-73.90925667,40.812845,2021-07-24 15:53:00,1.021634043
-73.90928,40.81277667,2021-07-24 15:53:00,1.021634043
-73.90931167,40.81271,2021-07-24 15:53:00,1.015142899
-73.90934,40.81264333,2021-07-24 15:53:00,1.015142899
-73.90936333,40.81256167,2021-07-24 15:53:00,1.012979184
-73.90938333,40.812485,2021-07-24 15:53:00,1.012979184
-73.90939333,40.81240333,2021-07-24 15:53:00,1.010815469
-73.90942,40.81233,2021-07-24 15:53:00,1.010815469
-73.90945333,40.81223667,2021-07-24 15:53:00,1.010815469
-73.90947667,40.81216333,2021-07-24 15:53:00,1.010815469
-73.90949333,40.81209333,2021-07-24 15:53:00,1.010815469
-73.90952167,40.81203167,2021-07-24 15:53:00,1.010815469
-73.90953,40.81198167,2021-07-24 15:53:00,1.010815469
-73.90954833,40.81194,2021-07-24 15:54:00,1.010815469
-73.90956333,40.8119,2021-07-24 15:54:00,1.010815469
-73.90958167,40.81186333,2021-07-24 15:54:00,1.010815469
-73.9096,40.81181167,2021-07-24 15:54:00,1.012979184
-73.909615,40.81175333,2021-07-24 15:54:00,1.012979184
-73.90963167,40.8117,2021-07-24 15:54:00,1.012979184
-73.90964667,40.81164333,2021-07-24 15:54:00,1.012979184
-73.90966167,40.81157833,2021-07-24 15:54:00,1.012979184
-73.909675,40.81151,2021-07-24 15:54:00,1.012979184
-73.90969333,40.81144167,2021-07-24 15:54:00,1.012979184
-73.909705,40.81137667,2021-07-24 15:54:00,1.012979184
-73.90971333,40.81132,2021-07-24 15:54:00,1.012979184
-73.909745,40.81123,2021-07-24 15:54:00,1.012979184
-73.909755,40.81120333,2021-07-24 15:54:00,1.012979184
-73.90977,40.81116167,2021-07-24 15:54:00,1.015142899
-73.90978667,40.81111833,2021-07-24 15:54:00,1.015263105
-73.90980833,40.81106,2021-07-24 15:54:00,1.015263105
-73.909875,40.810865,2021-07-24 15:54:00,1.019590535
-73.9099,40.81081,2021-07-24 15:54:00,1.019590535
