UHI Index,Land_Surface_Temp,Band1,Band2,Band3,Band4
1.030288903,38.393941100000006,846.0,1036.0,1502.0,1906.0
1.030288903,38.393941100000006,846.0,1036.0,1502.0,1906.0
1.023797758,37.78553354000002,846.0,709.0,1668.0,2190.0
1.023797758,37.78553354000002,846.0,657.0,1668.0,2182.0
1.021634043,37.35828104000001,846.0,745.0,1728.0,2112.0
1.021634043,37.35828104000001,846.0,745.0,1728.0,2112.0
1.015142899,37.35828104000001,846.0,767.0,1728.0,2354.0
1.015142899,37.35828104000001,1152.0,851.0,1769.0,2216.0
1.012979184,37.09167548000005,1152.0,835.0,1769.0,2072.0
1.012979184,37.09167548000005,1152.0,766.0,1460.0,2114.0
1.010815469,37.09167548000005,1152.0,766.0,1460.0,2114.0
1.010815469,37.09167548000005,1152.0,759.0,1460.0,1658.0
1.010815469,37.06433132000001,1152.0,743.0,1720.0,1360.0
1.010815469,36.70202119999999,1152.0,1160.0,1327.0,1874.0
1.010815469,36.70202119999999,1326.0,1570.0,2028.0,2020.0
1.010815469,37.09509350000002,1326.0,1618.0,2028.0,1936.0
1.010815469,37.09509350000002,1326.0,1618.0,2028.0,1936.0
1.010815469,37.09509350000002,1326.0,1260.0,1785.0,1716.0
1.010815469,37.09509350000002,1326.0,2334.0,1785.0,2770.0
1.010815469,37.09509350000002,1326.0,2334.0,1785.0,2770.0
1.012979184,37.09509350000002,1326.0,1646.0,1785.0,1850.0
1.012979184,37.44373154000005,1326.0,1354.0,1628.0,1562.0
1.012979184,37.44373154000005,1326.0,1354.0,1628.0,1562.0
1.012979184,37.44373154000005,959.0,2256.0,2288.0,2610.0
1.012979184,37.44373154000005,732.0,2380.0,2343.0,2678.0
1.012979184,37.44373154000005,732.0,2380.0,2343.0,2678.0
1.012979184,37.495001839999986,732.0,1320.0,2343.0,2556.0
1.012979184,37.495001839999986,732.0,717.0,2045.0,2630.0
1.012979184,37.495001839999986,732.0,717.0,2045.0,2630.0
1.012979184,37.334354899999994,732.0,800.0,2045.0,2214.0
1.012979184,37.334354899999994,732.0,977.0,1644.0,1656.0
1.015142899,37.334354899999994,732.0,977.0,1644.0,1656.0
1.015263105,37.334354899999994,732.0,836.0,1644.0,1570.0
1.015263105,37.334354899999994,732.0,836.0,1644.0,1570.0
1.019590535,37.327518860000055,849.0,840.0,1513.0,1796.0
1.019590535,37.327518860000055,849.0,840.0,1513.0,1796.0
1.02175425,37.327518860000055,849.0,1638.0,2083.0,1938.0
1.02175425,37.327518860000055,849.0,1638.0,2083.0,1938.0
1.023917965,37.28650262000002,849.0,1322.0,1852.0,1822.0
1.02175425,37.28650262000002,849.0,1200.0,1852.0,2256.0
1.02175425,37.28650262000002,849.0,1050.0,1674.0,1880.0
1.019590535,37.99061474000001,1136.0,731.0,2171.0,1998.0
1.019590535,37.99061474000001,1136.0,731.0,2171.0,1998.0
1.019590535,37.99061474000001,1136.0,608.0,2171.0,2800.0
1.019590535,37.77869750000002,1136.0,761.0,2260.0,2880.0
1.019590535,37.77869750000002,1136.0,634.0,2260.0,2800.0
1.019590535,37.77869750000002,1136.0,1020.0,2260.0,2482.0
1.01742682,37.77869750000002,1136.0,1020.0,2260.0,2482.0
1.019590535,37.77869750000002,1136.0,1382.0,2218.0,2468.0
1.019590535,38.899808060000055,1136.0,1494.0,1921.0,2178.0
1.019590535,38.899808060000055,1136.0,1494.0,1921.0,2178.0
1.019590535,38.899808060000055,1136.0,1514.0,1921.0,1874.0
1.019590535,38.899808060000055,1260.0,1562.0,1670.0,1924.0
1.019590535,39.525305720000006,1260.0,1562.0,1670.0,1924.0
1.02175425,39.525305720000006,1260.0,1622.0,2162.0,2036.0
1.02175425,39.836345540000025,1260.0,1490.0,2162.0,2578.0
1.02175425,39.836345540000025,1260.0,3602.0,3357.0,3742.0
1.023917965,39.836345540000025,1260.0,3642.0,3319.0,3630.0
1.023917965,39.836345540000025,1260.0,3642.0,3319.0,3630.0
1.015263105,39.836345540000025,1338.0,1090.0,1952.0,1204.0
1.015263105,39.81583741999998,1338.0,1090.0,1952.0,1204.0
1.01309939,39.81583741999998,1338.0,2192.0,1965.0,2708.0
1.01309939,39.81583741999998,1338.0,2018.0,1965.0,2642.0
1.01309939,39.91496000000001,1338.0,1660.0,2270.0,1932.0
1.010935675,40.09269704000002,1357.0,1706.0,2081.0,1696.0
1.03269303,40.09269704000002,1296.0,1486.0,1677.0,1744.0
1.030529316,40.21574576,1296.0,1534.0,1677.0,1730.0
1.030529316,40.21574576,1296.0,1534.0,1677.0,1730.0
1.026201886,40.21574576,1296.0,1444.0,1527.0,1592.0
1.026201886,40.21574576,1296.0,1518.0,1527.0,1454.0
1.026201886,40.49944142000004,1296.0,1174.0,1602.0,1366.0
1.028365601,40.49944142000004,1296.0,1890.0,1602.0,1992.0
1.028365601,40.49944142000004,1296.0,1890.0,1602.0,1992.0
1.028365601,40.49944142000004,1186.0,2110.0,1801.0,2470.0
1.04134789,41.08050481999999,1251.0,1838.0,1828.0,1870.0
1.04134789,41.08050481999999,1251.0,1646.0,1828.0,2032.0
1.03702046,41.67865832000001,1251.0,1830.0,2229.0,2408.0
1.03702046,41.67865832000001,1251.0,866.0,2229.0,3040.0
1.039184175,41.67865832000001,1251.0,1003.0,2229.0,2640.0
1.039184175,41.67865832000001,1145.0,1172.0,1602.0,1574.0
1.026201886,42.020460319999984,1145.0,1516.0,1602.0,1596.0
1.026201886,42.020460319999984,1145.0,1632.0,1407.0,1422.0
1.024038171,41.73334664000003,1145.0,1342.0,1407.0,1302.0
1.024038171,41.70942050000002,1145.0,1026.0,1180.0,1138.0
1.024038171,41.70942050000002,1145.0,1346.0,1180.0,1450.0
1.024038171,40.42766300000005,1776.0,1656.0,1721.0,1670.0
1.019710741,40.42766300000005,1776.0,4060.0,3172.0,4688.0
1.015383311,39.022856779999984,1776.0,3482.0,3175.0,3908.0
1.015383311,39.022856779999984,1776.0,2932.0,3175.0,3150.0
1.006728452,39.022856779999984,1639.0,2346.0,2674.0,2454.0
1.006728452,38.506735760000026,1639.0,3776.0,4491.0,4248.0
1.004564737,38.506735760000026,1639.0,2736.0,2727.0,3174.0
1.004564737,38.506735760000026,1639.0,1556.0,2727.0,2830.0
1.004564737,38.164933760000054,1639.0,2290.0,2589.0,2834.0
1.004564737,38.164933760000054,1639.0,3090.0,2589.0,3572.0
1.000237307,38.164933760000054,929.0,1688.0,2141.0,2384.0
1.000237307,38.08290127999999,929.0,482.0,2237.0,3386.0
1.000357514,38.08290127999999,929.0,517.0,2237.0,3194.0
1.000357514,38.20253198,929.0,666.0,2431.0,2950.0
1.004684943,38.20253198,929.0,922.0,2431.0,2680.0
