datetime,Longitude,Latitude,UHI Index,Land_Surface_Temp,Band1,Band2,Band3,Band4,air_temp_at_surface_[degc],relative_humidity_[percent],avg_wind_speed_[m/s],wind_direction_[degrees],solar_flux_[w/m^2],Nearest_Building_Lon,Nearest_Building_Lat,Building_Distance_m,Building_Density_50m,Building_Density_100m,Building_Density_200m,hour,weekday,month,Hour_Category,Is_Weekend,Temp_Gradient,Humidity_Temp_Interaction,Wind_Chill,NDVI,NDBI,Surface_Albedo
2021-07-24 15:53:00,-73.90916667,40.81310667,1.030288903,38.393941100000006,846.0,1036.0,1502.0,1906.0,27.0,47.0,3.0,180.5,613.0,-73.90939535049142,40.813538689322,51.75002038833683,6,11,26,15,5,7,Afternoon,1,11.393941100000006,1269.0,29.10830082455906,0.11854460090418292,-0.29571719908371275,0.1128
2021-07-24 15:53:00,-73.90918667,40.813045,1.030288903,38.393941100000006,846.0,1036.0,1502.0,1906.0,27.0,47.0,3.0,180.5,613.0,-73.90939535049142,40.813538689322,57.6365735621147,7,12,27,15,5,7,Afternoon,1,11.393941100000006,1269.0,29.10830082455906,0.11854460090418292,-0.29571719908371275,0.1128
2021-07-24 15:53:00,-73.909215,40.81297833,1.023797758,37.78553354000002,846.0,709.0,1668.0,2190.0,27.0,47.0,3.0,180.5,613.0,-73.90886444386157,40.8125061012143,60.229750500574454,8,13,28,15,5,7,Afternoon,1,10.785533540000017,1269.0,29.10830082455906,0.1353032659058312,-0.5108658156223298,0.10743333333333333
2021-07-24 15:53:00,-73.90924167,40.81290833,1.023797758,37.78553354000002,846.0,657.0,1668.0,2182.0,27.0,47.0,3.0,180.5,613.0,-73.90886444386157,40.8125061012143,54.84751059349429,9,14,30,15,5,7,Afternoon,1,10.785533540000017,1269.0,29.10830082455906,0.1335064934718165,-0.5371609719840926,0.1057
2021-07-24 15:53:00,-73.90925667,40.812845,1.021634043,37.35828104000001,846.0,745.0,1728.0,2112.0,27.0,47.0,3.0,180.5,613.0,-73.90886444386157,40.8125061012143,50.09658526501059,9,15,31,15,5,7,Afternoon,1,10.358281040000008,1269.0,29.10830082455906,0.09999999997395834,-0.4784739235287106,0.11063333333333332
2021-07-24 15:53:00,-73.90928,40.81277667,1.021634043,37.35828104000001,846.0,745.0,1728.0,2112.0,27.0,47.0,3.0,180.5,613.0,-73.90886444386157,40.8125061012143,46.132765699901775,10,17,33,15,5,7,Afternoon,1,10.358281040000008,1269.0,29.10830082455906,0.09999999997395834,-0.4784739235287106,0.11063333333333332
2021-07-24 15:53:00,-73.90931167,40.81271,1.015142899,37.35828104000001,846.0,767.0,1728.0,2354.0,27.0,47.0,3.0,180.5,613.0,-73.90976271272746,40.81261434168894,39.421022037573664,11,19,33,15,5,7,Afternoon,1,10.358281040000008,1269.0,29.10830082455906,0.15335619790461633,-0.5084908681485131,0.11136666666666667
2021-07-24 15:53:00,-73.90934,40.81264333,1.015142899,37.35828104000001,1152.0,851.0,1769.0,2216.0,27.0,47.0,3.0,180.5,613.0,-73.90976271272746,40.81261434168894,35.720436584838076,11,20,33,15,5,7,Afternoon,1,10.358281040000008,1269.0,29.10830082455906,0.11217063987147538,-0.4450603193853732,0.12573333333333334
2021-07-24 15:53:00,-73.90936333,40.81256167,1.012979184,37.09167548000005,1152.0,835.0,1769.0,2072.0,27.0,47.0,3.0,180.5,613.0,-73.90976271272746,40.81261434168894,34.117781926301326,11,21,34,15,5,7,Afternoon,1,10.091675480000049,1269.0,29.10830082455906,0.07888570682663741,-0.4255245956568543,0.1252
2021-07-24 15:53:00,-73.90938333,40.812485,1.012979184,37.09167548000005,1152.0,766.0,1460.0,2114.0,27.0,47.0,3.0,180.5,613.0,-73.90976271272746,40.81261434168894,35.017918570693695,11,23,35,15,5,7,Afternoon,1,10.091675480000049,1269.0,29.10830082455906,0.18298824840990816,-0.4680555553930363,0.1126
